Event,Category,Duration,Annual_Probability,Probability_Percent,Impact_Severity,Financial_Impact,Family_Disruption,Preparable,Insurance,Urban_Factor
Power outage (local),Infrastructure,sudden,1.0000,100.00%,2,low,3,True,none,1.2
Water main break,Infrastructure,sudden,0.4950,49.50%,3,low,4,False,none,1.5
Internet/cable outage,Infrastructure,sudden,0.7260,72.60%,1,low,2,False,partial,1.1
Gas leak (minor),Infrastructure,sudden,0.1430,14.30%,4,medium,5,True,partial,1.3
Car accident (minor),Transportation,sudden,0.1500,15.00%,3,medium,4,True,full,1.0
Food poisoning,Health,sudden,0.3000,30.00%,3,low,5,True,partial,1.0
Child injury (minor),Health,sudden,0.4800,48.00%,4,medium,6,True,full,1.0
Burglary attempt,Security,sudden,0.1584,15.84%,5,medium,7,True,partial,1.8
Severe thunderstorm,Weather,sudden,0.4500,45.00%,4,medium,5,True,partial,0.9
Flash flood,Weather,sudden,0.1400,14.00%,6,high,7,True,partial,1.4
Tornado,Weather,sudden,0.0160,1.60%,8,catastrophic,9,True,partial,0.8
Earthquake (minor),Natural,sudden,0.0600,6.00%,5,medium,6,True,partial,1.2
Building fire,Infrastructure,sudden,0.0429,4.29%,7,high,8,True,partial,1.3
Chemical spill nearby,Environmental,sudden,0.0360,3.60%,6,medium,7,False,none,1.8
Car accident (major),Transportation,sudden,0.0500,5.00%,7,high,8,True,full,1.0
Heart attack (parent),Health,sudden,0.0106,1.06%,8,high,9,True,full,1.0
Earthquake (major),Natural,sudden,0.0060,0.60%,9,catastrophic,10,True,partial,1.2
Terrorist attack nearby,Security,sudden,0.0022,0.22%,9,high,10,False,none,2.0
Industrial explosion,Environmental,sudden,0.0030,0.30%,8,high,9,False,partial,1.5
Sudden death (parent),Health,sudden,0.0026,0.26%,10,catastrophic,10,False,partial,1.0
Extended power outage,Infrastructure,short,0.5280,52.80%,3,medium,5,True,none,1.2
Water service disruption,Infrastructure,short,0.2860,28.60%,4,medium,6,True,none,1.3
School closure (weather),Education,short,0.9600,96.00%,2,low,4,False,none,1.0
Public transport strike,Transportation,short,0.4500,45.00%,3,medium,5,False,none,1.5
Stomach flu (family),Health,short,0.7200,72.00%,3,low,6,True,partial,1.0
Childcare emergency,Social,short,0.4800,48.00%,4,medium,7,True,none,1.0
Home heating failure,Infrastructure,short,0.1815,18.15%,4,medium,5,True,partial,1.1
Blizzard/ice storm,Weather,short,0.1600,16.00%,5,medium,6,True,partial,0.8
Severe flooding,Weather,short,0.1040,10.40%,6,high,7,True,partial,1.3
Widespread blackout,Infrastructure,short,0.1540,15.40%,5,medium,7,False,none,1.4
Hospital emergency,Health,short,0.2400,24.00%,6,high,8,True,full,1.0
Home break-in,Security,short,0.0880,8.80%,6,medium,8,True,partial,1.6
Workplace emergency,Economic,short,0.1200,12.00%,4,medium,5,False,none,1.2
Hurricane/typhoon,Weather,short,0.0350,3.50%,7,high,8,True,partial,0.7
Major earthquake,Natural,short,0.0036,0.36%,8,catastrophic,9,True,partial,1.2
Chemical emergency,Environmental,short,0.0160,1.60%,7,high,8,False,partial,1.6
Mass casualty event,Security,short,0.0040,0.40%,9,high,10,False,none,1.8
Extended illness (parent),Health,medium,0.3960,39.60%,4,medium,6,True,partial,1.0
Temporary job loss,Economic,medium,0.1500,15.00%,5,high,7,True,partial,1.0
School closure (extended),Education,medium,0.1200,12.00%,3,medium,6,False,none,1.0
Home repairs needed,Infrastructure,medium,0.2200,22.00%,4,medium,5,True,partial,1.0
Car breakdown/repair,Transportation,medium,0.2500,25.00%,3,medium,4,True,partial,1.0
Childcare disruption,Social,medium,0.2400,24.00%,4,medium,7,True,none,1.0
Utility service issues,Infrastructure,medium,0.1980,19.80%,3,medium,4,True,none,1.2
Serious illness (child),Health,medium,0.1200,12.00%,6,high,8,True,full,1.0
Serious illness (parent),Health,medium,0.1056,10.56%,7,high,8,True,full,1.0
